company,rep_topic,rep_prob,T10_팀바팀부서편차,T11_보상연봉,T1_워라밸복지,T2_계약직전환,T3_업무강도편차,T4_열악한근무환경,T5_군대식조직문화,T6_비효율문서작업,T7_성장성부족,T8_사내정치불공정,T9_경영진문제,company_clean,company_info,산업,기업형태,사원수,설립일,company_norm,별점
현대라이프생명보험(주),T10_팀바팀부서편차,0.251798561,0.251798561,0.107913669,0.0647482014,0.0647482014,0.0575539568,0.0647482014,0.0503597122,0.0071942446,0.179856115,0.0647482014,0.0863309353,현대라이프생명보험,현대라이프생명보험(주),증권/보험/카드,대기업,660명,2003.04.17,현대라이프생명보험,2.589928058
현대로템(주),T11_보상연봉,0.166666667,0.0933333333,0.166666667,0.14,0.0333333333,0.0533333333,0.1,0.153333333,0.06,0.0466666667,0.113333333,0.04,현대로템,현대로템(주),기계/설비/자동차,대기업,"3,940명",1999.07.01,현대로템,3.28
현대모비스(주),T1_워라밸복지,0.288461539,0.173076923,0.0384615385,0.288461539,0.0961538461,0,0.134615385,0.0576923077,0.0192307692,0.0384615385,0.0961538461,0.0576923077,현대모비스,현대모비스(주),기계/설비/자동차,대기업,"11,000명",1977.07.01,현대모비스,4.307692308
현대바이오사이언스(주),T8_사내정치불공정,0.208333333,0.152777778,0.0555555556,0.166666667,0,0.0833333333,0.0277777778,0,0.0277777778,0.111111111,0.208333333,0.166666667,현대바이오사이언스,현대바이오사이언스(주),석유/화학/에너지,-,56명,2000.05.25,현대바이오사이언스,2.388888889
현대비앤지스틸(주),T4_열악한근무환경,0.193333333,0.106666667,0.113333333,0.0733333333,0.00666666667,0.12,0.193333333,0.186666667,0.00666666667,0.12,0.04,0.0333333333,현대비앤지스틸,현대비앤지스틸(주),금속/재료/철강/요업,대기업,440명,1966.04.07,현대비앤지스틸,2.853333333
현대산기(주),T1_워라밸복지,0.363636364,0.0909090909,0.318181818,0.363636364,0,0.0454545455,0,0.0909090909,0,0.0454545455,0.0454545455,0,현대산기,현대산기(주),기계/설비/자동차,중소기업,118명,1996.07.03,현대산기,2.045454545
현대산업개발(주),T1_워라밸복지,0.2,0.153333333,0.12,0.2,0.106666667,0.106666667,0.06,0.0666666667,0.0333333333,0.0733333333,0.0733333333,0.00666666667,현대산업개발,현대산업개발(주),건설/건축/토목/시공,대기업,"1,561명",1977.10.14,현대산업개발,3.14
현대삼호중공업(주),T4_열악한근무환경,0.571428571,0.0952380952,0.0238095238,0.166666667,0.0238095238,0.0238095238,0.571428571,0.0476190476,0,0.0238095238,0.0238095238,0,현대삼호중공업,현대삼호중공업(주),조선/항공/우주,대기업,"4,378명",1998.11.04,현대삼호중공업,3.5
현대성우오토모티브코리아(주),T9_경영진문제,0.222222222,0.0793650794,0.0793650794,0.111111111,0,0.0793650794,0.0793650794,0.0793650794,0.0317460318,0.126984127,0.111111111,0.222222222,현대성우오토모티브코리아,현대성우오토모티브코리아(주),연구소/컨설팅/조사,대기업,"1,243명",1987.05.02,현대성우오토모티브코리아,2.26984127
현대스틸산업(주),T8_사내정치불공정,0.298245614,0.0350877193,0.0175438597,0.0701754386,0.0701754386,0.175438596,0.210526316,0.0701754386,0.0175438597,0.0175438597,0.298245614,0.0175438597,현대스틸산업,현대스틸산업(주),건설/건축/토목/시공,대기업,161명,2001.04.02,현대스틸산업,2.035087719
현대시멘트(주),T1_워라밸복지,0.269230769,0.230769231,0.0384615385,0.269230769,0,0,0.269230769,0.115384615,0,0,0.0769230769,0,현대시멘트,현대시멘트(주),금속/재료/철강/요업,대기업,364명,1969.12.30,현대시멘트,3.307692308
현대아이에이치엘(주),T1_워라밸복지,0.16,0.1,0.08,0.16,0.0733333333,0.113333333,0.0466666667,0.06,0.06,0.0866666667,0.133333333,0.0866666667,현대아이에이치엘,현대아이에이치엘(주),기계/설비/자동차,대기업,651명,1995.07.01,현대아이에이치엘,2.76
현대약품(주),T7_성장성부족,0.206666667,0.0866666667,0.106666667,0.0866666667,0,0.12,0.0666666667,0.0333333333,0.113333333,0.206666667,0.08,0.1,현대약품,현대약품(주),제약/보건/바이오,대기업,421명,1965.07.16,현대약품,2.966666667
현대에이치디에스(주),T11_보상연봉,0.206666667,0.113333333,0.206666667,0.14,0,0.0666666667,0.0866666667,0.0533333333,0.0333333333,0.106666667,0.18,0.0133333333,현대에이치디에스,현대에이치디에스(주),솔루션/SI/ERP/CRM,대기업,333명,1994.08.01,현대에이치디에스,3.273333333
현대에이치앤에스(주),T5_군대식조직문화,0.25,0.0833333333,0.111111111,0.0833333333,0.0277777778,0.0277777778,0.0555555556,0.25,0,0.222222222,0.0833333333,0.0555555556,현대에이치앤에스,현대에이치앤에스(주),판매유통,대기업,132명,2009.04.01,현대에이치앤에스,3.5
현대엔지니어링(주),T10_팀바팀부서편차,0.146666667,0.146666667,0.0866666667,0.106666667,0.04,0.1,0.0933333333,0.08,0.04,0.106666667,0.126666667,0.0733333333,현대엔지니어링,현대엔지니어링(주),건설/건축/토목/시공,대기업,"5,701명",1974.02.11,현대엔지니어링,3.246666667
현대엘리베이터(주),T5_군대식조직문화,0.186666667,0.14,0.08,0.0933333333,0.00666666667,0.106666667,0.0866666667,0.186666667,0.04,0.1,0.126666667,0.0333333333,현대엘리베이터,현대엘리베이터(주),기계/설비/자동차,대기업,"1,464명",1984.05.23,현대엘리베이터,3.466666667
현대엠시트(주),T1_워라밸복지,0.268817204,0.0215053763,0.0860215054,0.268817204,0.193548387,0.11827957,0.129032258,0.0107526882,0,0.0430107527,0.0967741935,0.0322580645,현대엠시트,현대엠시트(주),가구/목재/제지,대기업,362명,2002.01.01,현대엠시트,3.150537634
현대엠엔소프트(주),T1_워라밸복지,0.231292517,0.0952380952,0.0884353741,0.231292517,0.00680272109,0.176870748,0.0476190476,0.0680272109,0.0612244898,0.12244898,0.0952380952,0.00680272109,현대엠엔소프트,현대엠엔소프트(주),솔루션/SI/ERP/CRM,대기업,450명,1998.12.15,현대엠엔소프트,2.986394558
현대오토에버(주),T10_팀바팀부서편차,0.233333333,0.233333333,0.166666667,0.0933333333,0,0.14,0.0266666667,0.0266666667,0.0133333333,0.126666667,0.133333333,0.04,현대오토에버,현대오토에버(주),IT컨설팅,대기업,"2,679명",2000.04.10,현대오토에버,3.766666667
현대오트론(주),T7_성장성부족,0.213333333,0.153333333,0.166666667,0.106666667,0,0.0733333333,0.06,0.0133333333,0.0133333333,0.213333333,0.14,0.06,현대오트론,현대오트론(주),전기/전자/제어,대기업 계열사/자회사,-,2012.04.01,현대오트론,2.933333333
현대위아(주),T5_군대식조직문화,0.166666667,0.12,0.08,0.0866666667,0.0333333333,0.0666666667,0.12,0.166666667,0.0533333333,0.126666667,0.1,0.0466666667,현대위아,현대위아(주),기계/설비/자동차,대기업,"2,878명",1976.03.29,현대위아,3.353333333
